Date,Content
2022-07-11 02:13:51+00:00,"b'Gua aja Kgk tau Source Aslinya \xf0\x9f\xa4\xa3....dah dibilang maling sama burung biru.....\xf0\x9f\x90\xa6\n\nMenghardcore kali App yg satu ini\xe2\x80\xa6 https://t.co/hfmuxVMjGa'"
2022-07-10 17:44:26+00:00,"b'pov bertemu zeta di stasiun citayem menuju stasiun sudirman\n#vestiazeta #Zetacrylic #holoID #hololive https://t.co/inTqBvJIsJ'"
2022-07-10 16:30:21+00:00,"b'Bo-Kobo Kobo Kobo Kanaeru at your service-Ehe\n\nJanji ga nangis? \xe2\x98\x9d\xef\xb8\x8f\xf0\x9f\x98\x85\nCongrats 1M subs \xf0\x9f\xa4\xa1\nSelamatin aku edgelort kobo\xe2\x80\xa6 https://t.co/E6DwQPgGLQ'"
2022-07-10 15:44:28+00:00,"b'Selamat untuk 1 million subnya Kobo the rain shaman AKA the demon lord kobo AKA Princess Kobo kanaeru @kobokanaeru\xe2\x80\xa6 https://t.co/9wiv9WSvoy'"
2022-07-10 13:25:15+00:00,"b'Lmao Banget Sih Ngab \xf0\x9f\x98\x82\xe2\x9c\xa8\n&amp; Selamat Hari Watame Sedunia\xf0\x9f\x8d\xbf\xe2\x9c\xa8\n\n~For Our Lort Kobokan \xe2\x98\x94\n@kobokanaeru Congratulations For 1\xe2\x80\xa6 https://t.co/oINRchvkKe'"
2022-07-10 11:31:49+00:00,"b'Hololive - Oozora Subaru\n#pixelart #aseprite #\xe3\x83\x89\xe3\x83\x83\xe3\x83\x88\xe7\xb5\xb5  #\xed\x94\xbd\xec\x85\x80\xec\x95\x84\xed\x8a\xb8 #hololive https://t.co/c9OXFOOZGV'"
2022-07-10 11:26:56+00:00,"b'donasinya qq~\n\n#AeruSeni #hololive https://t.co/xSdykECaSM'"
2022-07-10 11:20:27+00:00,"b'Selamat atas 1 juta subscribernya Kobo kanaeru\n\n#KoboKanaeru #VtuberID #hololive https://t.co/GxZG5pqwBL'"
2022-07-10 09:48:00+00:00,"b'Koyosama Kawaii \xe2\x99\xa1\xe2\x99\xa1\xe2\x99\xa1\n#\xe5\x8d\x9a\xe8\xa1\xa3\xe3\x81\x93\xe3\x82\x88\xe3\x82\x8a \n#hololive https://t.co/Qojyd0WgWm'"
2022-07-10 06:34:54+00:00,"b'Fubuki, Crazy USA Hamburger\n#\xe7\xb5\xb5\xe3\x83\x95\xe3\x83\x96\xe3\x82\xad #hololive #hololivefanart https://t.co/ytgRE2DrET'"
2022-07-09 20:43:27+00:00,"b'\xf0\x9f\xa5\x95 Pekora! \xf0\x9f\xa5\x95 #POPUPPARADE #hololive @usadapekora https://t.co/tcO4BqvS06'"
2022-07-09 18:04:32+00:00,"b'Tako Selfie  \xca\x95\xcb\x89\xca\xb7\xcb\x89\xca\x94 \n#inART #\xe3\x81\x84\xe3\x81\xaa\xe3\x83\xbc\xe3\x83\x88 \n#Hololive #Vtubers \n#TAKOTIME https://t.co/tNQ2HBWKze'"
2022-07-09 15:34:25+00:00,"b'Baca Mantra hujan\nEh malah hujan VTOL yg datang:v\n#FotoProfilBaru\n#KoboKanaeru \n#holoID \n#hololive https://t.co/leuHnba2j7'"
2022-07-09 15:32:05+00:00,"b'Kiara Takanashi\n\n---------------------------\n#\xe5\xb0\x8f\xe9\xb3\xa5\xe9\x81\x8a\xe3\x82\xad\xe3\x82\xa2\xe3\x83\xa9 #kiara #kfp #hololive #vtuber #drawing #copic \n#birthday https://t.co/wbopl3TVpa'"
2022-07-09 14:40:27+00:00,"b'KORONE DAYOOOO \xf0\x9f\xa5\x90\n#\xe3\x81\xa7\xe3\x81\x8d\xe3\x81\x9f\xe3\x81\xa6\xe3\x81\x93\xe3\x82\x8d\xe3\x81\xad #\xe7\x94\x9f\xe7\xa5\x9e\xe3\x82\x82\xe3\x82\x93\xe3\x81\x96\xe3\x81\x88\xe3\x82\x82\xe3\x82\x93 #\xe3\x81\x93\xe3\x82\x8d\xe3\x81\xad\xe3\x81\x99\xe3\x81\x8d\xe3\x83\xbc #cosplay #hololive @inugamikorone https://t.co/SvEEvOnXzp'"
2022-07-09 13:41:45+00:00,"b'@kobokanaeru ketemu sama pak bos\n@punipun7 \n#Hololive\n#Yagoo\n#AeruSeni https://t.co/Jmy8yTsK7H'"
2022-07-09 13:09:15+00:00,"b'#hololive\nSubaru Duck https://t.co/fc8Xm0Mipn'"
2022-07-09 12:17:31+00:00,"b'PONcorn\n\nsequel dan prequel dari cerita fan-comic ini bersambung di reply yang penuh dgn berbagai meme, jadi dihara\xe2\x80\xa6 https://t.co/XO733pDN3J'"
2022-07-09 12:04:02+00:00,"b'#\xe3\x83\x9b\xe3\x83\xad\xe3\x83\xa9\xe3\x82\xa4\xe3\x83\x96 #hololive #galaxillust\n\n rkgk sana \xf0\x9f\x8c\x8c\xf0\x9f\xaa\x90 https://t.co/n50Sz62APb'"
2022-07-09 12:01:05+00:00,"b'Watamelon -\n\n#\xe3\x81\xa4\xe3\x81\xae\xe3\x81\xbe\xe3\x81\x8d\xe3\x81\x82\xe3\x83\xbc\xe3\x81\xa8 #hololive https://t.co/mXs8OG6BEh'"
2022-07-09 09:12:48+00:00,"b'PEKORA KEEPS GETTING ROASTED BY HOLOMEMS IN MONSTER HUNTER [Hololive/Eng sub] [Usada Pekora]\xe2\x80\xa6 https://t.co/s30chyayNc'"
2022-07-09 05:06:39+00:00,"b'Random screenshots of Nenechi (\xef\xbd\xa1\xe2\x80\xa2\xcc\x80\xe1\xb4\x97-)\xf0\x9f\xa7\xa1 \n#\xe6\xa1\x83\xe9\x88\xb4\xe3\x81\xad\xe3\x81\xad\xe7\x94\x9f\xe6\x94\xbe\xe9\x80\x81\n#hololive https://t.co/gEr3PiM5oL'"
2022-07-09 03:56:07+00:00,"b'Pekora~~ #hololive #HololiveJPN #HololiveEN #Hololivefanart #Usadapekora #pekorausada #pekora #illustrations\xe2\x80\xa6 https://t.co/97SFGYj2u8'"
2022-07-09 03:19:08+00:00,"b'Pronouns in Pekolandish\n#conlang #pekora #hololive #pekoland #pekolandish #\xe3\x81\xba\xe3\x81\x93\xe3\x82\x89\xe3\x83\xbc\xe3\x81\xa8 https://t.co/UnHilUvUZr'"
2022-07-09 02:23:06+00:00,"b'Hololive ID Area 15 as Indonesian 3 National Flowers\n1. Puspa Bangsa - Jasmine\n2. Puspa Pesona - Moon Orchid\n3. Pus\xe2\x80\xa6 https://t.co/M2gan6WUvv'"
2022-07-09 01:34:26+00:00,"b'Penguin #inKaela #kaeLaugh #hololive #holoID https://t.co/9KlQwJVcw1'"
2022-07-08 20:35:32+00:00,"b'SoniKoro #hololive #Sonic #sonicthehedgehog #korone #sonikoro #InugamiKorone https://t.co/7xfK2P6edV https://t.co/o9RNdEuiML'"
2022-07-08 19:18:04+00:00,"b'Harus perbanyak coloring lagi\n#ioarts \n#Ioart \n#hololive \n#HololiveID https://t.co/AdunYqXvPW'"
2022-07-08 17:17:38+00:00,"b'Korone! #hololive  #\xe3\x81\xa7\xe3\x81\x8d\xe3\x81\x9f\xe3\x81\xa6\xe3\x81\x93\xe3\x82\x8d\xe3\x81\xad https://t.co/imeeeE5hbO'"
2022-07-08 14:43:11+00:00,"b'Yuu shaum yuu \xf0\x9f\x98\x81 maaf telattt baru bisa buat duh\xf0\x9f\x98\xadmudah mudahan bagi shaum yang tadi dan besok diterima oleh Allah SW\xe2\x80\xa6 https://t.co/4itZ2I056s'"
2022-07-08 11:09:13+00:00,"b'2206\xec\x84\xa0\xed\x96\x89\n\nHololive \nOozora subaru\n\n\xf0\x9f\x93\xb8 @kongkonge100\n\n#\xe3\x83\x97\xe3\x83\xad\xe3\x83\x86\xe3\x82\xa4\xe3\x83\xb3\xe3\x82\xb6\xe3\x82\xb9\xe3\x83\x90\xe3\x83\xab \n#\xe5\xa4\xa7\xe7\xa9\xba\xe3\x82\xb9\xe3\x83\x90\xe3\x83\xab #hololive\n#\xe3\x83\x9b\xe3\x83\xad\xe3\x83\xa9\xe3\x82\xa4\xe3\x83\x96 https://t.co/SYAHRJWK1j'"
2022-07-08 07:44:33+00:00,"b'Nakiri Ayame \xf0\x9f\x98\x88: #\xe7\x99\xbe\xe9\xac\xbc\xe7\xb5\xb5\xe5\xb7\xbb #hololive https://t.co/vQ5F6reCt6'"
